Product Name, Rating, Price
Apple iPhone XR (64GB) - Black,4.5,₹44900
Apple iPhone 6s (32GB) - Space Grey,4.5,₹76900
Apple iPhone 7 (32GB) - Black,4.4,₹23999
Apple iPhone XR (64GB) - White,4.5,₹29900
Apple iPhone 7 Plus (32GB) - Black,4.5,₹27999
Apple iPhone 11 (64GB) - Black,4.5,₹39900
Apple iPhone XR (128GB) - Black,4.5,₹49900
Apple iPhone 7 (32GB) - Rose Gold,4.5,₹76900
Apple iPhone 11 (128GB) - Black,4.5,₹37900
Apple iPhone 11 Pro Max (256GB) - Midnight Green,4.3,₹64900
Apple iPhone XR (64GB) (Product) RED,4.5,₹49900
Apple iPhone 11 (64GB) - White,4.5,₹81900
Apple iPhone 7 (32GB) - Gold,4.5,₹27999
