Product Name,Rating,Price
Apple iPhone 7 (Black| 32 GB),4.5,₹27999
Apple iPhone 7 (Gold| 32 GB),4.5,₹27999
Apple iPhone 8 (Space Grey| 64 GB),4.5,₹36999
Apple iPhone 7 (Rose Gold| 32 GB),4.5,₹27999
Apple iPhone 11 (Black| 128 GB),4.7,₹69900
Apple iPhone 11 (White| 64 GB),4.7,₹64900
Apple iPhone XR (White| 64 GB),4.6,₹49900
Apple iPhone 11 (Purple| 64 GB),4.7,₹64900
Apple iPhone 11 (White| 128 GB),4.7,₹69900
Apple iPhone 11 (Black| 64 GB),4.7,₹64900
Apple iPhone 11 (Red| 128 GB),4.7,₹69900
Apple iPhone 8 (Gold| 64 GB),4.5,₹36999
Apple iPhone 8 (Silver| 64 GB),4.5,₹36999
Apple iPhone 6s (Space Grey| 32 GB),4.5,₹23999
Apple iPhone XR (Blue| 64 GB),4.6,₹49900
Apple iPhone 11 (Red| 64 GB),4.7,₹64900
Apple iPhone XR ((PRODUCT)RED| 64 GB),4.6,₹49900
Apple iPhone XR (Black| 128 GB),4.6,₹54900
Apple iPhone XR (Coral| 64 GB),4.6,₹49900
Apple iPhone XS (Gold| 64 GB),4.6,₹64999
Apple iPhone XR (Black| 64 GB),4.6,₹49900
Apple iPhone XS Max (Space Grey| 64 GB),4.6,₹74999
Apple iPhone 11 Pro (Midnight Green| 64 GB),4.7,₹99900
Apple iPhone 11 Pro (Gold| 64 GB),4.7,₹99900
Apple iPhone 6s (Silver| 32 GB),4.5,₹24999
Apple iPhone 11 Pro (Silver| 256 GB),4.7,₹113900
Apple iPhone XR (White| 128 GB),4.6,₹59999
Apple iPhone XS Max (Space Grey| 256 GB),4.6,₹89999
Apple iPhone 6s (Rose Gold| 32 GB),4.5,₹23999
Apple iPhone 11 Pro Max (Gold| 64 GB),4.7,₹109900
Apple iPhone 8 (Gold| 256 GB),4.5,₹54900
Apple iPhone 11 Pro (Silver| 64 GB),4.7,₹99900
Apple iPhone 7 Plus (Jet Black| 32 GB),4.5,₹44999
Apple iPhone 8 (Silver| 256 GB),4.5,₹54900
Apple iPhone 8 Plus (Silver| 64 GB),4.6,₹54900
Apple iPhone 8 Plus (Silver| 256 GB),4.6,₹64900
Apple iPhone 11 Pro Max (Space Grey| 512 GB),4.7,₹141900
Apple iPhone 11 Pro (Space Grey| 64 GB),4.7,₹99900
Apple iPhone 11 Pro Max (Midnight Green| 256 GB),4.7,₹123900
Apple iPhone 11 Pro Max (Midnight Green| 64 GB),4.7,₹109900
